Begin,End,Label,Type,Speaker
7.15,7.17,6,phones,audio_prompt
7.25,7.31,m,phones,audio_prompt
7.31,7.35,ă,phones,audio_prompt
7.35,7.4,t,phones,audio_prompt
7.4,7.42,5,phones,audio_prompt
7.49,7.5,tʰ,phones,audio_prompt
7.5,7.53,i,phones,audio_prompt
7.53,7.55,2,phones,audio_prompt
7.55,7.62,f,phones,audio_prompt
7.62,7.66,ɔ,phones,audio_prompt
7.66,7.72,ŋ͡m,phones,audio_prompt
7.72,7.74,1,phones,audio_prompt
7.74,7.77,m,phones,audio_prompt
7.77,7.8,ɤ,phones,audio_prompt
7.8,7.83,j,phones,audio_prompt
7.83,7.85,5,phones,audio_prompt
7.95,7.96,n,phones,audio_prompt
7.96,7.97,ɔ,phones,audio_prompt
7.97,8.0,j,phones,audio_prompt
8.0,8.03,5,phones,audio_prompt
8.03,8.04,a,phones,audio_prompt
8.04,8.06,2,phones,audio_prompt
8.26,8.29,k,phones,audio_prompt
8.29,8.33,ɔ,phones,audio_prompt
8.33,8.34,j,phones,audio_prompt
8.34,8.36,1,phones,audio_prompt
8.36,8.37,k,phones,audio_prompt
8.37,8.4,ɔ,phones,audio_prompt
8.4,8.43,j,phones,audio_prompt
8.43,8.45,1,phones,audio_prompt
8.45,8.46,k,phones,audio_prompt
8.46,8.49,a,phones,audio_prompt
8.49,8.52,j,phones,audio_prompt
8.52,8.54,5,phones,audio_prompt
8.85,8.88,n,phones,audio_prompt
8.88,8.89,ă,phones,audio_prompt
8.89,8.9,j,phones,audio_prompt
8.9,8.92,2,phones,audio_prompt
8.96,8.97,ɣ,phones,audio_prompt
8.97,9.0,ɔ,phones,audio_prompt
9.0,9.03,j,phones,audio_prompt
9.03,9.05,6,phones,audio_prompt
9.05,9.06,l,phones,audio_prompt
9.06,9.07,a,phones,audio_prompt
9.07,9.09,2,phones,audio_prompt
10.6,10.63,t,phones,audio_prompt
10.63,10.64,e,phones,audio_prompt
10.64,10.65,t,phones,audio_prompt
10.65,10.67,5,phones,audio_prompt
11.22,11.23,c,phones,audio_prompt
11.23,11.26,ɔ,phones,audio_prompt
11.26,11.28,1,phones,audio_prompt
11.49,11.5,ʂ,phones,audio_prompt
11.5,11.94,ɔ,phones,audio_prompt
11.94,11.97,j,phones,audio_prompt
11.97,11.99,5,phones,audio_prompt
12.68,12.71,f,phones,audio_prompt
12.71,12.74,a,phones,audio_prompt
12.74,12.75,j,phones,audio_prompt
12.75,12.77,4,phones,audio_prompt
12.94,12.95,x,phones,audio_prompt
12.95,12.96,o,phones,audio_prompt
12.96,12.99,ŋ͡m,phones,audio_prompt
12.99,13.01,1,phones,audio_prompt
